1 39 0.007 0.007 0.007 0.007 0.008
2 49 0.007 0.007 0.007 0.009 0.009
3 118 0.010 0.008 0.011 0.026 0.029
4 274 0.040 0.020 0.017 0.323 0.203
5 443 0.165 0.045 0.018 0.913 0.548
6 1454 8.835 1.695 0.057 47.503 16.914
7 1612 16.052 2.317 0.066 65.550 22.695
8 1624 17.645 2.355 0.072 74.391 23.359
9 1723 22.589 2.754 0.127 57.712 27.605
10 5300 3291.228 95.127 1.385 2028.874 879.153
